time,lane,vehicle_type,speed,over_by
08:30:00,4,car,75.6,15.6
08:30:03,2,bus,83.6,23.6
08:30:15,2,bus,88.5,28.5
08:30:27,3,truck,73.2,13.2
08:30:33,3,truck,60.8,0.8
08:30:36,1,car,70.7,10.7
08:30:45,1,truck,64.6,4.6
08:30:51,4,truck,74.9,14.9
08:30:54,1,truck,95.2,35.2
08:30:57,1,truck,69.6,9.6
08:31:03,3,truck,65.8,5.8
08:31:06,1,car,92.1,32.1
08:31:09,3,car,76.2,16.2
08:31:48,3,truck,61.0,1.0
08:31:51,1,bus,77.2,17.2
08:32:00,2,truck,87.4,27.4
08:32:15,4,bus,97.6,37.6
08:32:21,4,car,98.2,38.2
