time,lane,vehicle_type,speed
08:30:00,4,car,75.6
08:30:03,2,bus,83.6
08:30:06,4,bus,47.0
08:30:09,4,truck,25.0
08:30:12,1,bus,20.2
08:30:15,2,bus,88.5
08:30:18,3,bus,23.1
08:30:21,2,car,45.2
08:30:24,1,car,25.0
08:30:27,3,truck,73.2
08:30:30,2,truck,57.4
08:30:33,3,truck,60.8
08:30:36,1,car,70.7
08:30:39,1,car,48.6
08:30:42,2,car,34.5
08:30:45,1,truck,64.6
08:30:48,1,truck,27.7
08:30:51,4,truck,74.9
08:30:54,1,truck,95.2
08:30:57,1,truck,69.6
08:31:00,4,truck,52.6
08:31:03,3,truck,65.8
08:31:06,1,car,92.1
08:31:09,3,car,76.2
08:31:12,1,car,58.6
08:31:15,3,bus,55.2
08:31:18,2,truck,30.1
08:31:21,1,bus,28.7
08:31:24,4,car,35.1
08:31:27,3,bus,25.1
08:31:30,4,car,37.4
08:31:33,4,truck,49.0
08:31:36,3,truck,47.2
08:31:39,4,truck,35.3
08:31:42,2,bus,31.7
08:31:45,2,car,56.5
08:31:48,3,truck,61.0
08:31:51,1,bus,77.2
08:31:54,1,car,31.2
08:31:57,4,bus,25.3
08:32:00,2,truck,87.4
08:32:03,2,truck,27.8
08:32:06,3,truck,37.2
08:32:09,1,bus,21.6
08:32:12,1,truck,42.6
08:32:15,4,bus,97.6
08:32:18,1,car,51.8
08:32:21,4,car,98.2
08:32:24,1,bus,44.6
08:32:27,3,truck,24.4
