time,lane,vehicle_type,speed,over_by
08:30:00,4,car,75.6,25.6
08:30:03,2,bus,83.6,33.6
08:30:15,2,bus,88.5,38.5
08:30:27,3,truck,73.2,23.2
08:30:30,2,truck,57.4,7.4
08:30:33,3,truck,60.8,10.8
08:30:36,1,car,70.7,20.7
08:30:45,1,truck,64.6,14.6
08:30:51,4,truck,74.9,24.9
08:30:54,1,truck,95.2,45.2
08:30:57,1,truck,69.6,19.6
08:31:00,4,truck,52.6,2.6
08:31:03,3,truck,65.8,15.8
08:31:06,1,car,92.1,42.1
08:31:09,3,car,76.2,26.2
08:31:12,1,car,58.6,8.6
08:31:15,3,bus,55.2,5.2
08:31:45,2,car,56.5,6.5
08:31:48,3,truck,61.0,11.0
08:31:51,1,bus,77.2,27.2
08:32:00,2,truck,87.4,37.4
08:32:15,4,bus,97.6,47.6
08:32:18,1,car,51.8,1.8
08:32:21,4,car,98.2,48.2
